Species;X;Y;Abundance;Years;Site
Bufo spinosus;357337;6783846;1;2010;Site 136
Pelodytes punctatus;348398;6785920;1;2010;Site 58
Rana dalmatina;357337;6783846;1;2010;Site 136
Salamandra salamandra;357337;6783846;1;2010;Site 136
Hyla arborea;344270;6809372;1;2009;Site 29
Ichthyosaura alpestris;353382;6782286;1;2006;Site 109
Ichthyosaura alpestris;353667;6783296;1;2006;Site 113
Ichthyosaura alpestris;353351;6783609;1;2006;Site 108
Lissotriton helveticus;353382;6782286;1;2006;Site 109
Lissotriton helveticus;353489;6782858;1;2006;Site 110
Lissotriton helveticus;353667;6783296;1;2006;Site 113
Lissotriton helveticus;353351;6783609;1;2006;Site 108
Pelophylax spp.;353382;6782286;1;2006;Site 109
Pelophylax spp.;353489;6782858;1;2006;Site 110
Pelophylax spp.;353667;6783296;1;2006;Site 113
Rana dalmatina;353489;6782858;1;2006;Site 110
Triturus cristatus;353382;6782286;1;2006;Site 109
Triturus cristatus;353489;6782858;1;2006;Site 110
Triturus cristatus;353667;6783296;1;2006;Site 113
Triturus cristatus;353351;6783609;1;2006;Site 108
Hyla arborea;340116;6790043;1;2002;Site 8
Hyla arborea;350205;6776645;1;2002;Site 86
Ichthyosaura alpestris;340116;6790043;1;2002;Site 8
Ichthyosaura alpestris;350205;6776645;1;2002;Site 86
Ichthyosaura alpestris;350524;6776018;1;2002;Site 91
Lissotriton helveticus;340116;6790043;1;2002;Site 8
Lissotriton helveticus;350205;6776645;1;2002;Site 86
Lissotriton vulgaris;340116;6790043;1;2002;Site 8
Pelophylax lessonae;340116;6790043;1;2002;Site 8
Pelophylax spp.;350205;6776645;1;2002;Site 86
Rana dalmatina;340116;6790043;1;2002;Site 8
Rana dalmatina;350360;6776722;1;2002;Site 90
Salamandra salamandra;340116;6790043;1;2002;Site 8
Salamandra salamandra;350205;6776645;1;2002;Site 86
Triturus cristatus;350524;6776018;1;2002;Site 91
Triturus cristatus;340116;6790043;1;2002;Site 8
Triturus cristatus;350205;6776645;1;2002;Site 86
Triturus marmoratus;350205;6776645;1;2002;Site 86
Ichthyosaura alpestris;364990;6788566;1;2010;Site 175
Pelophylax spp.;364990;6788566;1;2010;Site 175
Hyla arborea;348398;6785920;1;2010;Site 58
Pelophylax spp.;348398;6785920;1;2010;Site 58
Triturus cristatus;348398;6785920;1;2010;Site 58
Bufo spinosus;355177;6792058;1;2010;Site 120
Lissotriton helveticus;355096;6791928;1;2010;Site 119
