Species;Year;Abundance;X;Y
Bufo spinosus;2015;1;259519;6807029
Pelophylax spp.;2015;1;259519;6807029
Salamandra salamandra;2015;1;259519;6807029
Bufo spinosus;2015;1;259519;6807029
Salamandra salamandra;2015;1;259519;6807029
Pelophylax spp.;2015;1;261357;6806526
Pelophylax spp.;2015;1;259519;6807029
Bufo spinosus;2015;1;259519;6807029
Salamandra salamandra;2015;1;259519;6807029
Bufo spinosus;2012;1;228034;6776892
Pelophylax spp.;2015;1;259519;6807029
Pelophylax spp.;2015;1;259519;6807029
Bufo spinosus;2010;1;249849;6852199
Ichthyosaura alpestris;2010;1;249849;6852199
Lissotriton helveticus;2010;1;249849;6852199
Pelodytes punctatus;2010;1;249849;6852199
Rana dalmatina;2010;1;249849;6852199
Hyla arborea;2012;1;157686;6769904
Pelophylax spp.;2010;1;317480;6807537
Pelophylax spp.;2010;1;317386;6807493
Salamandra salamandra;2016;1;270376;6852112
Salamandra salamandra;2016;1;259519;6807029
Salamandra salamandra;2010;1;173743;6839086
Pelophylax spp.;2014;1;240615;6811130
Pelophylax spp.;2015;1;259519;6807029
Lissotriton helveticus;2012;1;259666;6767160
Lissotriton helveticus;2012;1;259666;6767160
Lissotriton helveticus;2012;1;259632;6767171
Rana dalmatina;2012;1;259620;6767171
Rana dalmatina;2012;1;259671;6767173
Rana dalmatina;2012;1;259596;6767173
Rana dalmatina;2012;1;259598;6767179
Rana dalmatina;2012;1;259668;6767176
Bufo spinosus;2011;1;245854;6760181
Bufo spinosus;2015;1;259621;6807328
Bufo spinosus;2015;1;259519;6807029
Alytes obstetricans;2015;1;237746;6858172
Salamandra salamandra;2016;1;258789;6852805
Bufo spinosus;2010;1;293580;6817446
Salamandra salamandra;2017;1;268655;6837036
Bufo spinosus;2015;1;258814;6806435
Salamandra salamandra;2012;1;256877;6806858
Triturus marmoratus;2012;1;302389;6831466
Bufo spinosus;2011;1;315075;6818571
Pelophylax spp.;2015;1;259519;6807029
Bufo spinosus;2015;1;259519;6807029
Bufo spinosus;2012;1;229769;6810767
Pelophylax spp.;2015;1;259519;6807029
Bufo spinosus;2015;1;278474;6836626
Bufo spinosus;2012;1;243722;6855725
Hyla arborea;2011;1;265757;6727638
Pelophylax spp.;2011;1;223443;6869080
Bufo spinosus;2011;1;191822;6771485
Hyla arborea;2011;1;290473;6828664
Bufo spinosus;2015;1;259519;6807029
Salamandra salamandra;2011;1;316666;6829851
Bufo spinosus;2014;1;224965;6867509
Bufo spinosus;2014;1;243437;6807959
Bufo spinosus;2011;1;223443;6869080
Pelophylax spp.;2010;1;153138;6777328
Bufo spinosus;2018;1;288471;6840473
Bufo spinosus;2011;1;318492;6830822
Bufo spinosus;2011;1;318573;6830835
Pelophylax spp.;2011;1;345073;6781215
Hyla arborea;2018;1;319702;6826868
Hyla arborea;2018;1;319334;6826709
Bufo spinosus;2010;1;259248;6852779
Salamandra salamandra;2010;1;356049;6820628
Bufo spinosus;2015;1;259519;6807029
Salamandra salamandra;2015;1;259519;6807029
Salamandra salamandra;2015;1;259519;6807029
Salamandra salamandra;2015;1;259519;6807029
Salamandra salamandra;2017;1;263670;6859776
Bufo spinosus;2017;1;230332;6860866
Rana temporaria;2010;1;225044;6832191
Bufo spinosus;2018;1;310022;6848493
Bufo spinosus;2018;1;310022;6848493
Pelophylax spp.;2019;1;302389;6831466
Bufo spinosus;2019;1;304634;6824952
Rana temporaria;2018;1;278163;6814074
Salamandra salamandra;2018;1;278163;6814074
Pelophylax spp.;2017;1;269958;6837425
Bufo spinosus;2017;1;292407;6832946
Bufo spinosus;2017;1;264152;6848565
Bufo spinosus;2017;1;304179;6805768
Hyla arborea;2017;1;264152;6848565
Ichthyosaura alpestris;2017;1;264152;6848565
Lissotriton helveticus;2017;1;264152;6848565
Rana temporaria;2017;1;264152;6848565
Salamandra salamandra;2017;1;304179;6805768
Salamandra salamandra;2017;1;264152;6848565
Salamandra salamandra;2017;1;269958;6837425
Triturus marmoratus;2017;1;264152;6848565
Bufo spinosus;2016;1;237359;6859774
Salamandra salamandra;2016;1;237359;6859774
Salamandra salamandra;2016;1;237746;6858172
Bufo spinosus;2016;1;248013;6867283
Bufo spinosus;2016;1;288482;6840683
Salamandra salamandra;2016;1;248013;6867283
Bufo spinosus;2016;1;289965;6839961
Bufo spinosus;2016;1;297545;6850393
Salamandra salamandra;2016;1;289965;6839961
Bufo spinosus;2016;1;225044;6832191
Bufo spinosus;2016;1;258603;6842114
Bufo spinosus;2016;1;288448;6840719
Bufo spinosus;2016;1;288674;6840569
Pelophylax spp.;2016;1;225044;6832191
Salamandra salamandra;2016;1;225044;6832191
Salamandra salamandra;2016;1;258603;6842114
Salamandra salamandra;2016;1;221227;6873765
Salamandra salamandra;2016;1;253895;6853145
Salamandra salamandra;2016;1;269958;6837425
Bufo spinosus;2015;1;277592;6842260
Pelophylax spp.;2015;1;283864;6839311
Rana temporaria;2015;1;276703;6843566
Salamandra salamandra;2015;1;300802;6824305
Salamandra salamandra;2015;1;293037;6824346
Salamandra salamandra;2015;1;243728;6805380
Salamandra salamandra;2015;1;276485;6841270
Salamandra salamandra;2015;1;277189;6841863
Bufo spinosus;2014;1;234996;6876583
Bufo spinosus;2014;1;269230;6833933
Bufo spinosus;2014;1;263544;6822886
Bufo spinosus;2014;1;225825;6868153
Salamandra salamandra;2014;1;225825;6868153
Salamandra salamandra;2014;1;269230;6833933
Bufo spinosus;2014;1;237359;6859774
Salamandra salamandra;2014;1;237359;6859774
Alytes obstetricans;2014;1;264152;6836273
Salamandra salamandra;2014;1;299879;6842379
Bufo spinosus;2014;1;237359;6859774
Salamandra salamandra;2014;1;237359;6859774
Bufo spinosus;2014;1;270376;6852112
Salamandra salamandra;2014;1;262890;6865564
Alytes obstetricans;2014;1;376357;6824508
Bufo spinosus;2014;1;376357;6824508
Lissotriton helveticus;2014;1;376357;6824508
Salamandra salamandra;2014;1;376357;6824508
Bufo spinosus;2014;1;257783;6852014
Bufo spinosus;2014;1;309422;6838310
Bufo spinosus;2014;1;332364;6830822
Salamandra salamandra;2014;1;274402;6843285
Salamandra salamandra;2014;1;240237;6857252
Salamandra salamandra;2014;1;277189;6841863
